"","tweets","class"
"1","the only thing i get from college be a caffeine addiction","sarcasm"
"2","i love it when professor draw a big question mark next to my answer on an exam because im always like yeah i dont either","sarcasm"
"3","remember the hundred email from company when covid start get real ive gotten three in regard to support for protest and only share helpful link and actually say black life matter we love capitalism 🥰🙌🏼","sarcasm"
"4","today my pop pop tell me i be not force to go to college 🙃 okay sure sureeee","sarcasm"
"5","i do too and i also report cancun cruz not worry about the heartbeat of his constituent without electricity or heat when he flee to mexico","sarcasm"
"6","i choose to interpret it a xd the universal emoticon for laugh at those poor poor folk in ubisofts marketing department who have to deal with that brand until the server quietly shut down 8 month after launch","sarcasm"
"7","why would alexas recipe for yorkshire pudding be a bhaji yorkshire pudding","sarcasm"
"8","someone hit me w a horse tranquilizer istg ive be in a pool of sweat for 6 hour and i havent sleep im so tired but i love my friend so much and oh my fucking god i cant rn","sarcasm"
"9","love season 4 of trump do america funny season yet #donaldtrump #trump #maga #maga2020","sarcasm"
"10","holly arnold who #imaceleb #mbe nope not sure oh hang on you mean mbe yes thats her","sarcasm"
"11","any pensioner and 4 year old who dare take me on at dinosaur theme crazy golf will be crush crushed i tell you","sarcasm"
"12","see brexit be go well","sarcasm"
"13","just like to congratulate everyone on the kop today for the fast ever poor scouser tommy slow the fuck down","sarcasm"
"14","do i just blast maneskin to get hype for my osce or","sarcasm"
"15","yes because we need literally every single fucking celebrity to speak up on a topic thats be force down everyones throat for the past four month i use the internet to get away from these fuck real life problem not everyone need to weigh in","sarcasm"
"16","i never think id say this but i have become one of those people who like bounty bar","sarcasm"
"17","my eldest be have a wild friday night out shes go to bingo 😂","sarcasm"
"18","whoevers toddler as spray the entire toilet backstage i hope you stub your toe and bite your tongue really hard also you be clearly dehydrate go drink some damn water like an adult","sarcasm"
"19","gaslight gatekeep girl bos","sarcasm"
"20","i be only in taylor swift top 0 10% of listener on spotify but last year but yeah totally sound that swiftogeddan in glasgow be sell out","sarcasm"
"21","imagine go to university for 4 year when you could just follow elon musk on twitter for free","sarcasm"
"22","not get one lynx africa for christmas day this year shock and outrage #ruinedchristmas","sarcasm"
"23","the villain in super hero film be awfully polite they always confine their invasion to be above one particular city","sarcasm"
"24","oh my goodness it the first week of the summer holiday and harrison have find his recorder give me strength","sarcasm"
"25","imagine your delivery be 2 hour late and imagine call up your service team only for them to hang up at 10pm coincidentally the same time the office close but it okay my £3 delivery fee be be refund though 👊🏻","sarcasm"
"26","team be down what a shame i cant do my assignment 👉🏽👈🏽","sarcasm"
"27","well i doubt theyre try to smash the door in to change the regulation of cough medicine","sarcasm"
"28","not at all concern that a man just be round to fiddle with the boiler and now hes leave the carbon monoxide alarm wont stop beeping","sarcasm"
"29","not tell anyone how i vote in case it doesnt come true #euref","sarcasm"
"30","just wonder how to get my diss down by 1500 word such fun","sarcasm"
"31","it be a blissful 2 5 hour of sleep tonight","sarcasm"
"32","fall asleep at your laptop be always fun","sarcasm"
"33","try to know all this history tonight be gonna kill me","sarcasm"
"34","love it when jonny make me use earphone to watch something on my phone so he can play fifa","sarcasm"
"35","nice to be compare to a brick wall 😂","sarcasm"
"36","blizzard will have to make sure it doesnt exceed the recommended fun level of 10%","sarcasm"
"37","if 2020 be a nose itd be mine 🐦","sarcasm"
"38","would anyone like to give me some money #findom","sarcasm"
"39","get very excited that my national trust card arrive i be officially a grandma","sarcasm"
"40","vaccinate this morning not sure it work still commit to apple and no extra autism detect bloody science","sarcasm"
"41","it come hooooome","sarcasm"
"42","i wish i could tap in to the government bank account🙄🙄🙄","sarcasm"
"43","90% of adulthood be just refill your brita pitcher","sarcasm"
"44","i suppose though we do sign one for the future so you know not all gloom and doom we might be good in 6 year time","sarcasm"
"45","where be the chancellor please check the back of your sofa","sarcasm"
"46","i have be inform that a aroace and agender i have triple visibility and be now visible from space","sarcasm"
"47","go to be run on three hour of sleep at work tonight so excited","sarcasm"
"48","do he order 11 at once and drink each one at just over 5 minute or do we have to take into account go to the bar either way it a disgrace and not what we should be promote to the kid","sarcasm"
"49","im now read 4 book at once what could go wrong 🧡","sarcasm"
"50","i think lunch be ready at the care home then it be time for nap and then countdown","sarcasm"
"51","very good just need to work on your spelling now 👍","sarcasm"
"52","july 1st half way point of the year well i think we can all agree that 2020 have go swimmingly so far cant wait for part 2 #murderhornets","sarcasm"
"53","get lock out of twitter for say it embarrassing to be an arsenal fan thats not okay but people can be abusive and racist and nothing okay 🤣🙄","sarcasm"
"54","i just absolutely love how ive get to work outside for the next 3 day in the heatwave #sweatingmyballsoff","sarcasm"
"55","defrost the freezer with the cast of hollyoaks any of them that want an extra fun trip could pop to the recycle centre with some empty pesto jar magic","sarcasm"
"56","so very delayed flight from bristol to edinburgh trademark vagueness from staff with a chronic lack of empathy to boot despite me travel with three young child now time to fee our family with £3 voucher at airport price #bollocks","sarcasm"
"57","we need to normalise have absolutely fry bleach damage hair people should talk about this","sarcasm"
"58","wizkid be the king ok lol","sarcasm"
"59","ah yes it really be wood burn stove in sub saharan africa thats drive the climate crisis 🧠","sarcasm"
"60","start watch house of card 4 episode in already i can see it be a good choice😄","sarcasm"
"61","social care for the young be basically a bath board and bed rest and your do","sarcasm"
"62","very nice be now briefly up to date hopefully doesnt take you so long to do the english release of the new pixie after we get 9 10","sarcasm"
"63","justice have be do","sarcasm"
"64","what a race #sarcastic #wtf1","sarcasm"
"65","help im be haunt by dead people my dissertation","sarcasm"
"66","my neighbor taunt me outside my office window by chill in their hot tub every remotely warm day whilst i sit here on back to back zoom all day every day the audacity be astonish","sarcasm"
"67","ive be do physic for 40 minute i think i deserve a break 😂😂😂😭 im never go to get it all do at this rate","sarcasm"
"68","billy gunn sorta relevant for the first time in year","sarcasm"
"69","wish i could understand string theory without know math ala i guess i be too hot for conceptual physic","sarcasm"
"70","so we actually have to do hot girl summer without 1989 taylor version im sick","sarcasm"
"71","🌶 spice coconut curry 🥥 a weekend spend with friend brings a week of content or something like that 😜 start the weekend off with this yummy morsel with be a fusion of miso sesame aubergine 🍆 broccoli","sarcasm"
"72","consider crowd surf the next time the hallway be too packed","sarcasm"
"73","avoid mass gathering do this mean that i can stay home tomorrow a i work at a school no i think not #schoolclosure","sarcasm"
"74","you know the wolf match be bore when youre talk with your mate about the best way to wire up his new shed","sarcasm"
"75","what a wonderful time to have your ac go out","sarcasm"
"76","rivet news","sarcasm"
"77","my extend fam be discuss go on a trip instead of get present for christmas like okay im bout it yeah they be talk about do to the dell ill take my god damn present thank you very much","sarcasm"
"78","okay but like the say so song aint that bad im unironically jam to it lmao","sarcasm"
"79","if you see me cry in the self service car wash in my rosatis uniform no you didnt ❤️","sarcasm"
"80","tinnitus be my favourite thing ever i love it so loud so atmospheric","sarcasm"
"81","thanks for rat my location out on stream and then embarrass me 😂 it make my day though","sarcasm"
"82","love living in a capitalist society where i look forward to get a surgery where im legit get an internal body part remove bc it mean ill get a few day off from work xoxo","sarcasm"
"83","i love ingest poison and then wonder why my tummy be rumble the next morning","sarcasm"
"84","beautician and the beast 1997 best timothy dalton film of all time","sarcasm"
"85","ahahahaha the feeya i know and love miss u 😢","sarcasm"
"86","absolutely love wake up to the fire alarm at 7 be 😍","sarcasm"
"87","fully vaxxed feel very girlboss","sarcasm"
"88","i feel like with the pandemic and all we should now be allow to publicly shame baby for just like cough into the open air you know what i mean","sarcasm"
"89","let me guess it have to be charlotte tilbury makeup and if by chance you do take it off use charlotte tilbury skincare","sarcasm"
"90","the typhoon fly over me today absolutely fume they forget to bomb me","sarcasm"
"91","love get assignment at 6 25pm on a friday","sarcasm"
"92","rag debate on the importance of an orlando magic summer league championship definitely a notch below 6 if decide by coin flip","sarcasm"
"93","hot loli","sarcasm"
"94","between mikey cooking and didi cooking for me i relax 😎 cooking i dont know her","sarcasm"
"95","ah gotta love that friday morning burnt out feel 🌄","sarcasm"
"96","her family should definitely not seek mental health guidance 😬","sarcasm"
"97","how i flirt with boy boy hey i saw you from across the room and have to come over me wow youre super observant do you have 20 20 vision","sarcasm"
"98","be try to get my boyfriend attention let see how long it take for him to see this tweet tho","sarcasm"
"99","my work email isnt work so i can just log off for the day right 🙄","sarcasm"
"100","watch olympic woman beach volleyball for the plot","sarcasm"
"101","theres no good way to wake up than have one dog jump directly on your stomach and knock the wind out of you while the other drop a dead rodent on the end of the bed 😑","sarcasm"
"102","cold ear take out one airpod leave it by the stove and forget about it for 20 minute 🤗","sarcasm"
"103","do the #hokies really have to play 5 against 6 tonight come on stripe","sarcasm"
"104","fool me once shame on you fool me twice shame on me fool me multiple time i must have become a brexiter #brexit","sarcasm"
"105","lucky for 2nd place brentford that theres no stand out team like leeds this year or they might have no chance of win the league #ncfc","sarcasm"
"106","how do i get my boyfriend in a maid costume","sarcasm"
"107","if only he have a press corp in the house oh wait shut up jr time to get fit for those lovely orange jumpsuit if you cant be orange anymore at least you can wear it","sarcasm"
"108","wtf be a justin herbert","sarcasm"
"109","he not welcome in a tolerant place like london on the presidential visit on the irony in that comment #r4bh","sarcasm"
"110","i love it when drunk inconsiderate flatmate come back and start climb on the roof #istillhaveexams #tryingtosleep","sarcasm"
"111","think about quit the path im on to become a college advisor so i can be wrong and do nothing for the rest of my life","sarcasm"
"112","2 busy work 2 care","sarcasm"
"113","update theyve finally close the campus which mean i waste my day go in and wait on lecture 🙃","sarcasm"
"114","stop treat mar like a back up boyfriend just fix your current relationship with earth because you cant live here","sarcasm"
"115","i just dont think it too much to have a perfect life with absolutely no problem 🤷🏻‍♀️","sarcasm"
"116","the control button just fell off my laptop how symbolic for my life","sarcasm"
"117","make it illegal to say write dems in disarray on account of it be stupid a fuck","sarcasm"
"118","a level tudor history can do one","sarcasm"
"119","cant wait until i live to be 110 year old and i have people ask me how ive live for such a long time so that i can make up some hyper specific secret to longevity that people will inevitably follow","sarcasm"
"120","ugh i have to send an email how about i just quit","sarcasm"
"121","day 3 luggage arrive thanks non random hungarian underwear talk deliver science sate #metaxa http t co 6kpjlezqof","sarcasm"
"122","go to check out the bios of the exclusively hipster dude that work in a rival boutique good store and find out they all travel internationally during the pandemic 🙃🙃🙃","sarcasm"
"123","so in other news i just hold the door open for bam adebayo amp then i fell down the stairs amp i think i break my finger ya im that smooth","sarcasm"
"124","i cant believe today be the last day we can be gay","sarcasm"
"125","do you actually fly on a plane if you didnt post a picture of the view from your window","sarcasm"
"126","see a kanye west have a range of clothing with gap how about me and you do a collab","sarcasm"
"127","i love jump on zoom meeting where everyone be talk about their kid amp im stuff my face with taco bell","sarcasm"
"128","it always the girl i dont even know that wanna talk about me 24 7 i love my fan","sarcasm"
"129","thx for the play by play","sarcasm"
"130","who think me and sam should start a band call teeth at midnight 🦷🌙","sarcasm"
"131","omg theres a sheet of ice in front of my school should i slip and fall","sarcasm"
"132","i wish that grill cheese help you get that summer bod","sarcasm"
"133","i call out an insta post for fat shaming and be now be tell that make fun of someone have no neck be not make fun of someone appearance the more you know guy","sarcasm"
"134","finally someone be speak up for the billionaire","sarcasm"
"135","hasnt he open a few new hospital oh sorry maybe it be a new first aid box","sarcasm"
"136","yeah your girl be fine but do she pass out while give blood","sarcasm"
"137","i recover a repressed memory today of work at in high school 13 year ago amp have to answer the phone a we go all out at kum amp go this be shelby how can i help you and the prank call that lead to pretty sure k amp g owe me therapy","sarcasm"
"138","accidentally make a friend in asl today i hate when that happen","sarcasm"
"139","few link for you to summarise wear face mask seem to be more effective than not whoda thunk","sarcasm"
"140","kind of rude of my stomach to still make whale noise after ive give it a whole protein bar","sarcasm"
